day,count
2025-01-01,631121
2025-01-02,508595
2025-01-03,590349
2025-01-04,646926
2025-01-05,562038
2025-01-06,542481
2025-01-07,585705
2025-01-08,616270
2025-01-09,660278
2025-01-10,687893
2025-01-11,725763
2025-01-12,607840
2025-01-13,551163
2025-01-14,590326
2025-01-15,629546
2025-01-16,656759
2025-01-17,699198
2025-01-18,727511
2025-01-19,633906
2025-01-20,548770
2025-01-21,633206
2025-01-22,658596
2025-01-23,667058
2025-01-24,726444
2025-01-25,760987
2025-01-26,629320
2025-01-27,547886
2025-01-28,577011
2025-01-29,589684
2025-01-30,656205
2025-01-31,736082
2025-02-01,767241
2025-02-02,664262
2025-02-03,549897
2025-02-04,583947
2025-02-05,623002
2025-02-06,681424
2025-02-07,741550
2025-02-08,749832
2025-02-09,668480
2025-02-10,587026
2025-02-11,608641
2025-02-12,644485
2025-02-13,683812
2025-02-14,780502
2025-02-15,786947
2025-02-16,667815
2025-02-17,567595
2025-02-18,608032
2025-02-19,626118
2025-02-20,674204
2025-02-21,741863
2025-02-22,767597
2025-02-23,631089
2025-02-24,557882
2025-02-25,578546
2025-02-26,611979
2025-02-27,660348
2025-02-28,717443
2025-03-01,756471
2025-03-02,670025
2025-03-03,578050
2025-03-04,577762
2025-03-05,665814
2025-03-06,642463
2025-03-07,713185
2025-03-08,735630
2025-03-09,607431
2025-03-10,542844
2025-03-11,562732
2025-03-12,603581
2025-03-13,656595
2025-03-14,715811
2025-03-15,744394
2025-03-16,612766
2025-03-17,567108
2025-03-18,567111
2025-03-19,591097
2025-03-20,666178
2025-03-21,699131
2025-03-22,715568
2025-03-23,616181
2025-03-24,585134
2025-03-25,542744
2025-03-26,584141
2025-03-27,614646
2025-03-28,675467
2025-03-29,714061
2025-03-30,568394
2025-03-31,533584
2025-04-01,566119
2025-04-02,612040
2025-04-03,638705
2025-04-04,694159
2025-04-05,771569
2025-04-06,628550
2025-04-07,589425
2025-04-08,591274
2025-04-09,621099
2025-04-10,656486
2025-04-11,761373
2025-04-12,784516
2025-04-13,607949
2025-04-14,509027
2025-04-15,547771
2025-04-16,585932
2025-04-17,605733
2025-04-18,646006
2025-04-19,703057
2025-04-20,610814
2025-04-21,533686
2025-04-22,555417
2025-04-23,590863
2025-04-24,630146
2025-04-25,708453
2025-04-26,768784
2025-04-27,638966
2025-04-28,544154
2025-04-29,564969
2025-04-30,607666
2025-05-01,641523
2025-05-02,714552
2025-05-03,767385
2025-05-04,639616
2025-05-05,630211
2025-05-06,603365
2025-05-07,603227
2025-05-08,644699
2025-05-09,754672
2025-05-10,734372
2025-05-11,650751
2025-05-12,548977
2025-05-13,600169
2025-05-14,689481
2025-05-15,652745
2025-05-16,713410
2025-05-17,755310
2025-05-18,637300
2025-05-19,558046
2025-05-20,580220
2025-05-21,664628
2025-05-22,682814
2025-05-23,677761
2025-05-24,651761
2025-05-25,602405
2025-05-26,498048
2025-05-27,540439
2025-05-28,619538
2025-05-29,630693
2025-05-30,690881
2025-05-31,734923
2025-06-01,619748
2025-06-02,523697
2025-06-03,553561
2025-06-04,616211
2025-06-05,645619
2025-06-06,666013
2025-06-07,725224
2025-06-08,621277
2025-06-09,562215
2025-06-10,593435
2025-06-11,606164
2025-06-12,649669
2025-06-13,687791
2025-06-14,732179
2025-06-15,611105
2025-06-16,549658
2025-06-17,570862
2025-06-18,629112
2025-06-19,636830
2025-06-20,675654
2025-06-21,721471
2025-06-22,634434
2025-06-23,602322
2025-06-24,656428
2025-06-25,656927
2025-06-26,635914
2025-06-27,661436
2025-06-28,711840
2025-06-29,627673
2025-06-30,549613
2025-07-01,575370
2025-07-02,556704
2025-07-03,601697
2025-07-04,543894
2025-07-05,584029
2025-07-06,537688
2025-07-07,505871
2025-07-08,571000
2025-07-09,580362
2025-07-10,596698
2025-07-11,654881
2025-07-12,710849
2025-07-13,606387
2025-07-14,592296
2025-07-15,565812
2025-07-16,607623
2025-07-17,642454
2025-07-18,662164
2025-07-19,713095
2025-07-20,622075
2025-07-21,532486
2025-07-22,540999
2025-07-23,566957
2025-07-24,608354
2025-07-25,698281
2025-07-26,699988
2025-07-27,613864
2025-07-28,556737
2025-07-29,599085
2025-07-30,620219
2025-07-31,653955
2025-08-01,650872
2025-08-02,677007
2025-08-03,588785
2025-08-04,521363
2025-08-05,538086
2025-08-06,565429
2025-08-07,583341
2025-08-08,639406
2025-08-09,658624
2025-08-10,580618
2025-08-11,511867
2025-08-12,535958
2025-08-13,605614
2025-08-14,608988
2025-08-15,656987
2025-08-16,683856
2025-08-17,607700
2025-08-18,497161
