month,bytes,mb
2019-02,513054623,489.2870168685913
2019-03,610854382,582.5561351776123
2019-04,559656651,533.7301740646362
2019-05,570821186,544.3775043487549
2019-06,536191926,511.3524684906006
2019-07,516008365,492.10392475128174
2019-08,501435971,478.2066068649292
2019-09,515944585,492.04309940338135
2019-10,549370339,523.9203824996948
2019-11,561011664,535.0224151611328
2019-12,576648876,549.9352226257324
2020-01,531275933,506.6642122268677
2020-02,558874878,532.9846172332764
2020-03,346478514,330.4276599884033
2020-04,114835005,109.5151948928833
2020-05,160544713,153.1073694229126
2020-06,197972781,188.80155658721924
2020-07,260252547,248.19616985321045
2020-08,290447928,276.9927291870117
2020-09,314689382,300.1111812591553
2020-10,345178105,329.1874933242798
2020-11,301856152,287.8724594116211
2020-12,303264028,289.21511459350586
2021-01,308924937,294.61377811431885
2021-02,302633211,288.6135206222534
2021-03,368370915,351.3058805465698
2021-04,368416040,351.34891510009766
2021-05,387251422,369.31173515319824
2021-06,394114750,375.8571147918701
2021-07,395966912,377.62347412109375
2021-08,382326987,364.61542797088623
2021-09,393687782,375.4499263763428
2021-10,430115885,410.19047260284424
2021-11,411061458,392.01875495910645
2021-12,410934116,391.89731216430664
2022-01,374619188,357.26469802856445
2022-02,407154284,388.2925834655762
2022-03,471233716,449.40349197387695
2022-04,455549033,434.4454126358032
2022-05,468565693,446.8590669631958
2022-06,458193119,436.96700954437256
2022-07,443730405,423.17429065704346
2022-08,436536084,416.3132514953613
2022-09,458009813,436.7921953201294
2022-10,495083481,472.14840030670166
2022-11,464298215,442.7892827987671
2022-12,503674188,480.34113693237305
2023-01,473816636,451.866756439209
2023-02,458895583,437.63693141937256
2023-03,522484870,498.2804012298584
2023-04,491826475,469.0422773361206
2023-05,513108369,489.3382730484009
2023-06,498799838,475.69259452819824
2023-07,492310857,469.5042200088501
2023-08,450263712,429.4049377441406
2023-09,478067839,455.9210195541382
2023-10,485826227,463.31999492645264
2023-11,464926008,443.3879928588867
2023-12,490453634,467.73303413391113
2024-01,472757547,450.8567304611206
2024-02,462475428,441.0509376525879
2024-03,507940560,484.4098663330078
2024-04,476115643,454.05926036834717
2024-05,498575918,475.47904777526855
2024-06,484417715,461.97673320770264
2024-07,468437522,446.7368335723877
2024-08,465991646,444.40426445007324
2024-09,466470118,444.8605709075928
2024-10,485102359,462.6296606063843
2024-11,480228052,457.9811592102051
2024-12,507534115,484.0222501754761
2025-01,491076642,468.32718086242676
2025-02,461632254,440.24682426452637
2025-03,501783767,478.538290977478
2025-04,487219586,464.64880561828613
2025-05,517386544,493.4182586669922
2025-06,490819474,468.0819263458252
2025-07,487222980,464.652042388916
2025-08,479574607,457.357985496521
2025-09,480851341,458.5755739212036
2025-10,518486063,494.46684169769287
2025-11,507485661,483.9760408401489
2025-12,535754793,510.935585975647
2026-01,505868728,482.4340133666992
2026-02,476780037,454.6928758621216
2026-03,532615621,507.94183826446533
2026-04,509865567,486.24569606781006
2026-05,537576484,512.6728858947754
