,nulls,pct
originating_base_num,67385046,27.663
on_scene_datetime,10870353,4.463
hvfhs_license_num,0,0.0
dispatching_base_num,0,0.0
request_datetime,0,0.0
pickup_datetime,0,0.0
dropoff_datetime,0,0.0
PULocationID,0,0.0
DOLocationID,0,0.0
trip_miles,0,0.0
trip_time,0,0.0
base_passenger_fare,0,0.0
tolls,0,0.0
bcf,0,0.0
sales_tax,0,0.0
congestion_surcharge,0,0.0
airport_fee,0,0.0
tips,0,0.0
driver_pay,0,0.0
shared_request_flag,0,0.0
shared_match_flag,0,0.0
access_a_ride_flag,0,0.0
wav_request_flag,0,0.0
wav_match_flag,0,0.0
cbd_congestion_fee,0,0.0
