month,fares,driver_pay,tips,trips,driver_share_pct,tip_rate_pct
2025-01-01,443631461.45015043,340277647.8894985,18575267.000002965,19571000,76.7,4.19
2025-02-01,432700186.279846,329856782.739877,17110869.140003737,18530370,76.23,3.95
2025-03-01,504356774.67977434,369614944.74001664,19756180.530004784,19565537,73.28,3.92
2025-04-01,461320263.0798031,354772747.77005196,19073404.220003895,18862171,76.9,4.13
2025-05-01,519667089.40971076,402709559.7600396,22264529.130004935,20113794,77.49,4.28
2025-06-01,488192811.1297649,377454686.0000462,20951106.100005265,18922431,77.32,4.29
2025-07-01,456512630.88980514,356931408.4800252,19611021.860003773,18710418,78.19,4.3
2025-08-01,447111965.86947477,348712723.82998765,18804785.720003165,18170019,77.99,4.21
2025-09-01,488478407.94962895,375791896.50005746,21498285.750005785,18479350,76.93,4.4
2025-10-01,511244700.28982496,406349635.08000827,24385950.59000641,20285398,79.48,4.77
2025-11-01,495802102.94985193,390189690.58001834,22145613.230006784,19834070,78.7,4.47
2025-12-01,538689383.1598564,417929127.21005815,25455250.97002261,21067990,77.58,4.73
