Zone,Borough,trips,avg_fare
LaGuardia Airport,Queens,4250005,51.70930160082168
JFK Airport,Queens,3247011,62.5172013830567
Crown Heights North,Brooklyn,3138991,20.769513404148068
East Village,Manhattan,2768594,26.395837425061437
East New York,Brooklyn,2691348,18.008248167832644
Bushwick South,Brooklyn,2658433,21.975880242232982
Times Sq/Theatre District,Manhattan,2605542,38.426761483791275
Midtown Center,Manhattan,2575190,36.353040750391436
TriBeCa/Civic Center,Manhattan,2506574,32.09929486622004
Williamsburg (North Side),Brooklyn,2401220,26.369986856681017
Greenpoint,Brooklyn,2370880,23.897214042886958
Union Sq,Manhattan,2366021,29.861775275874788
East Chelsea,Manhattan,2336141,32.55830820143153
West Chelsea/Hudson Yards,Manhattan,2333373,31.145986963936082
Park Slope,Brooklyn,2326061,24.27807895407724
