hour,mean_wait_s,trips
0,307.793523251383,7914712
1,294.68392559133525,5572093
2,306.8400390767151,3998289
3,329.0197089323413,3295866
4,353.3338134409876,3388129
5,313.61207875219105,4203464
6,304.09405529582097,6667918
7,324.9696998296166,9917634
8,292.5663475003934,11673017
9,252.87147337304606,10830285
10,243.98689835234697,10035608
11,248.80476560500531,9940144
12,262.75402071531556,10124007
13,272.36688791630877,10541034
14,282.27094352646185,11404598
15,277.05894418432985,11579938
16,275.34810191291234,12138089
17,289.21898939382305,13280940
18,284.11205781925054,13627572
19,273.59996091639346,13064301
20,273.38994223491954,12311244
21,289.49412768559785,12100425
22,315.22563529874503,11860365
23,318.1318816485011,10392568
